,Name,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
25,Danny Ward,€1.80m,"May 24, 2024","Jun 22, 1993",31,1.91,Wales,[],Goalkeeper,,Leicester,,,"Jul 20, 2018","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
26,Facundo Pellistri,€8.00m,"Jun 7, 2024","Dec 20, 2001",22,1.75,Uruguay,"['Uruguay', 'Spain']",Right Winger,"             0
0  Left Winger",Man Utd,,,"Oct 5, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
27,Charlie Taylor,€3.00m,"May 27, 2024","Sep 18, 1993",30,1.83,England,['England'],Left-Back,"             0
0  Centre-Back",Southampton,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
28,Bernardo Silva,€70.00m,"May 27, 2024","Aug 10, 1994",29,1.73,Portugal,['Portugal'],Attacking Midfield,"                  0
0      Right Winger
1  Central Midfield",Man City,,,"Jul 1, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
29,Nathan Broadhead,€5.00m,"May 24, 2024","Apr 5, 1998",26,1.78,Wales,[],Left Winger,,Ipswich,,,"Jan 9, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
30,Nathan Fraser,€1.00m,"May 27, 2024","Feb 22, 2005",19,1.88,Ireland,[],Centre-Forward,,Wolves,,,"Jan 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
31,Joël Veltman,€10.00m,"May 27, 2024","Jan 15, 1992",32,1.84,Netherlands,[],Right-Back,,Brighton,,,"Jul 29, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
32,Moisés Caicedo,€75.00m,"May 27, 2024","Nov 2, 2001",22,1.78,Ecuador,[],Defensive Midfield,,Chelsea,,,"Aug 14, 2023","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
33,Igor,€17.00m,"May 27, 2024","Feb 7, 1998",26,1.88,Brazil,['Brazil'],Centre-Back,"           0
0  Left-Back",Brighton,,,"Jul 26, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
34,Hamed Junior Traorè,€17.00m,"Jun 5, 2024","Feb 16, 2000",24,1.77,Cote d'Ivoire,[],Attacking Midfield,,Bournemouth,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
35,Willian,€3.00m,"May 27, 2024","Aug 9, 1988",35,1.75,Brazil,[],Left Winger,,Fulham,,,"Sep 1, 2022","Jun 30, 2024",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
36,Jonjo Shelvey,€2.60m,"May 31, 2024","Feb 27, 1992",32,1.84,England,"['England', 'Ireland']",Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Nottm Forest,,,"Jan 31, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
37,Jack Taylor,€1.80m,"May 24, 2024","Jun 23, 1998",26,1.85,Ireland,"['England', 'Ireland']",Central Midfield,"                    0
0  Defensive Midfield
1      Right Midfield",Ipswich,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
38,Samuel Amo-Ameyaw,€300k,"May 24, 2024","Jul 18, 2006",17,1.74,England,[],Right Winger,,Southampton,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
39,Billy Gilmour,€18.00m,"May 27, 2024","Jun 11, 2001",23,1.7,Scotland,[],Defensive Midfield,,Brighton,,,"Sep 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
40,Jesurun Rak-Sakyi,€2.00m,"May 27, 2024","Oct 5, 2002",21,1.78,England,[],Right Winger,,Crystal Palace,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
41,Jan Bednarek,€11.00m,"May 24, 2024","Apr 12, 1996",28,1.89,Poland,['Poland'],Centre-Back,,Southampton,,,"Jul 1, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
42,George Hirst,€4.00m,"May 24, 2024","Feb 15, 1999",25,1.91,England,[],Centre-Forward,,Ipswich,,,"Jul 13, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
43,Matheus Cunha,€45.00m,"May 27, 2024","May 27, 1999",25,1.83,Brazil,['Brazil'],Centre-Forward,"              0
0   Left Winger
1  Right Winger",Wolves,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
44,Pablo Sarabia,€10.00m,"May 27, 2024","May 11, 1992",32,1.74,Spain,['Spain'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Wolves,,,"Jan 17, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
45,James Tarkowski,€13.00m,"May 27, 2024","Nov 19, 1992",31,1.85,England,[],Centre-Back,,Everton,,,"Jul 2, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
46,Lloyd Kelly,€18.00m,"May 27, 2024","Oct 6, 1998",25,1.9,England,['England'],Centre-Back,"           0
0  Left-Back",Newcastle,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
47,Milos Kerkez,€20.00m,"May 27, 2024","Nov 7, 2003",20,1.8,Hungary,"['Serbia', 'Hungary', 'Serbia and Montenegro']",Left-Back,"               0
0  Left Midfield",Bournemouth,,,"Jul 20, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
48,Hee-chan Hwang,€25.00m,"May 27, 2024","Jan 26, 1996",28,1.77,"Korea, South","['Korea, South']",Centre-Forward,"              0
0   Left Winger
1  Right Winger",Wolves,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
49,Billy Gilmour,€18.00m,"May 27, 2024","Jun 11, 2001",23,1.7,Scotland,['Scotland'],Defensive Midfield,"                  0
0  Central Midfield",Brighton,,,"Sep 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
50,David Brooks,€8.00m,"May 24, 2024","Jul 8, 1997",27,1.73,Wales,[],Right Winger,,Bournemouth,,,"Jul 1, 2018","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
51,Mark Gillespie,€300k,"May 27, 2024","Mar 27, 1992",32,1.91,England,[],Goalkeeper,,Newcastle,,,"Jul 3, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
52,Daniel Podence,€13.00m,"May 30, 2024","Oct 21, 1995",28,1.7,Portugal,['Portugal'],Right Winger,"                0
0     Left Winger
1  Second Striker",Wolves,,,"Jan 30, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
53,Kevin Mbabu,€4.00m,"May 29, 2024","Apr 19, 1995",29,1.84,Switzerland,[],Right-Back,,Fulham,,,"Jul 27, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
54,Harrison Ashby,€1.20m,"May 24, 2024","Nov 14, 2001",22,1.79,Scotland,[],Right-Back,,Newcastle,,,"Jan 31, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
55,Leander Dendoncker,€7.00m,"Jun 5, 2024","Apr 15, 1995",29,1.88,Belgium,['Belgium'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Aston Villa,,,"Sep 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
56,Gavin Bazunu,€15.00m,"May 24, 2024","Feb 20, 2002",22,1.88,Ireland,[],Goalkeeper,,Southampton,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
57,Luke Woolfenden,€2.00m,"May 24, 2024","Oct 21, 1998",25,1.93,England,[],Centre-Back,,Ipswich,,,"Jul 1, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
58,Ali Al-Hamadi,€1.00m,"May 24, 2024","Mar 1, 2002",22,1.87,Iraq,[],Centre-Forward,,Ipswich,,,"Jan 29, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
59,Donny van de Beek,€5.00m,"May 29, 2024","Apr 18, 1997",27,1.84,Netherlands,['Netherlands'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Man Utd,,,"Sep 2, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
60,Filip Marschall,€800k,"Dec 19, 2023","Apr 24, 2003",21,1.95,England,"['England', 'Poland']",Goalkeeper,,Aston Villa,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
61,Omari Hutchinson,€7.00m,"May 24, 2024","Oct 30, 2003",20,1.74,Jamaica,"['England', 'Jamaica']",Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",Ipswich,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
62,Reiss Nelson,€15.00m,"May 27, 2024","Dec 10, 1999",24,1.75,England,[],Right Winger,,Arsenal,,,"Jul 1, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
63,Kieran Trippier,€10.00m,"May 27, 2024","Sep 19, 1990",33,1.73,England,[],Right-Back,,Newcastle,,,"Jan 7, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
64,Marc Cucurella,€25.00m,"May 27, 2024","Jul 22, 1998",25,1.73,Spain,['Spain'],Left-Back,"               0
0  Left Midfield
1    Centre-Back",Chelsea,,,"Aug 5, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
65,Alex Paulsen,€450k,"May 28, 2024","Jul 4, 2002",22,1.93,New Zealand,"['South Africa', 'New Zealand']",Goalkeeper,,Bournemouth,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
66,Reiss Nelson,€15.00m,"May 27, 2024","Dec 10, 1999",24,1.75,England,"['England', 'Jamaica']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Arsenal,,,"Jul 1, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
67,João Pedro,€45.00m,"May 27, 2024","Sep 26, 2001",22,1.88,Brazil,['Brazil'],Centre-Forward,"                0
0     Left Winger
1  Second Striker",Brighton,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
68,Gavin Kilkenny,€300k,"Dec 19, 2023","Feb 1, 2000",24,1.75,Ireland,['Ireland'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Bournemouth,,,"Aug 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
69,Anthony Elanga,€22.00m,"May 27, 2024","Apr 27, 2002",22,1.78,Sweden,"['Cameroon', 'Sweden']",Right Winger,"                0
0     Left Winger
1  Centre-Forward",Nottm Forest,,,"Jul 25, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
70,Malcolm Ebiowei,€1.50m,"Jun 4, 2024","Sep 4, 2003",20,1.85,England,"['England', 'Netherlands']",Right Winger,"                0
0     Left Winger
1  Centre-Forward",Crystal Palace,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
71,Harry Wilson,€17.00m,"May 27, 2024","Mar 22, 1997",27,1.73,Wales,"['England', 'Wales']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Fulham,,,"Jul 24, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
72,Ibrahim Osman,€12.00m,"Jun 10, 2024","Nov 29, 2004",19,1.79,Ghana,['Ghana'],Left Winger,"                0
0    Right Winger
1  Centre-Forward",Brighton,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
73,Bernardo Silva,€70.00m,"May 27, 2024","Aug 10, 1994",29,1.73,Portugal,[],Attacking Midfield,,Man City,,,"Jul 1, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
74,Dominic Calvert-Lewin,€22.00m,"May 27, 2024","Mar 16, 1997",27,1.89,England,[],Centre-Forward,,Everton,,,"Aug 31, 2016","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
75,Declan Rice,€120.00m,"May 27, 2024","Jan 14, 1999",25,1.88,England,[],Defensive Midfield,,Arsenal,,,"Jul 15, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
76,Roméo Lavia,€35.00m,"May 27, 2024","Jan 6, 2004",20,1.81,Belgium,[],Defensive Midfield,,Chelsea,,,"Aug 18, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
77,Casemiro,€20.00m,"May 27, 2024","Feb 23, 1992",32,1.85,Brazil,"['Brazil', 'Spain']",Defensive Midfield,"             0
0  Centre-Back",Man Utd,,,"Aug 22, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
78,Hamza Choudhury,€4.50m,"May 24, 2024","Oct 1, 1997",26,1.78,England,[],Defensive Midfield,,Leicester,,,"Jan 1, 2018","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
79,Jack Taylor,€1.80m,"May 24, 2024","Jun 23, 1998",26,1.85,Ireland,[],Central Midfield,,Ipswich,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
80,Anthony Gordon,€60.00m,"May 27, 2024","Feb 24, 2001",23,1.82,England,['England'],Left Winger,"                0
0    Right Winger
1  Centre-Forward",Newcastle,,,"Jan 29, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
81,Dominic Calvert-Lewin,€22.00m,"May 27, 2024","Mar 16, 1997",27,1.89,England,['England'],Centre-Forward,"                0
0  Second Striker
1     Left Winger",Everton,,,"Aug 31, 2016","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
82,Bernd Leno,€13.00m,"May 27, 2024","Mar 4, 1992",32,1.9,Germany,[],Goalkeeper,,Fulham,,,"Aug 2, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
83,Bryan Mbeumo,€40.00m,"May 27, 2024","Aug 7, 1999",24,1.71,Cameroon,"['France', 'Cameroon']",Right Winger,"                0
0  Second Striker
1  Centre-Forward",Brentford,,,"Aug 5, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
84,Massimo Luongo,€500k,"May 24, 2024","Sep 25, 1992",31,1.76,Australia,[],Central Midfield,,Ipswich,,,"Jan 5, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
85,Anthony Gordon,€60.00m,"May 27, 2024","Feb 24, 2001",23,1.82,England,[],Left Winger,,Newcastle,,,"Jan 29, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
86,Eberechi Eze,€55.00m,"May 27, 2024","Jun 29, 1998",26,1.78,England,[],Attacking Midfield,,Crystal Palace,,,"Aug 28, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
87,Luke Woolfenden,€2.00m,"May 24, 2024","Oct 21, 1998",25,1.93,England,['England'],Centre-Back,"            0
0  Right-Back",Ipswich,,,"Jul 1, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
88,Oscar Bobb,€25.00m,"May 27, 2024","Jul 12, 2003",20,1.75,Norway,[],Right Winger,,Man City,,,"Jul 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
89,Adrian Mazilu,€2.50m,"May 31, 2024","Sep 13, 2005",18,1.86,Romania,['Romania'],Right Winger,"             0
0  Left Winger",Brighton,,,"Jan 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
90,Aaron Ramsdale,€25.00m,"May 27, 2024","May 14, 1998",26,1.9,England,[],Goalkeeper,,Arsenal,,,"Aug 20, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
91,Jesurun Rak-Sakyi,€2.00m,"May 27, 2024","Oct 5, 2002",21,1.78,England,"['England', 'Ghana']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Crystal Palace,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
92,Alex Murphy,€250k,"Dec 19, 2023","Jun 25, 2004",20,1.88,Ireland,['Ireland'],Left-Back,"             0
0  Centre-Back",Newcastle,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
93,Adam Webster,€20.00m,"May 27, 2024","Jan 4, 1995",29,1.9,England,['England'],Centre-Back,"            0
0  Right-Back",Brighton,,,"Aug 3, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
94,Pablo Sarabia,€10.00m,"May 27, 2024","May 11, 1992",32,1.74,Spain,[],Right Winger,,Wolves,,,"Jan 17, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
95,Marc Guéhi,€38.00m,"May 27, 2024","Jul 13, 2000",23,1.82,England,[],Centre-Back,,Crystal Palace,,,"Jul 18, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
96,Nathaniel Phillips,€3.50m,"May 24, 2024","Mar 21, 1997",27,1.9,England,['England'],Centre-Back,,Liverpool,,,"Jul 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
97,Miguel Almirón,€20.00m,"May 27, 2024","Feb 10, 1994",30,1.74,Paraguay,[],Right Winger,,Newcastle,,,"Jan 31, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
98,Jeffrey Schlupp,€7.00m,"May 27, 2024","Dec 23, 1992",31,1.78,Ghana,[],Left Midfield,,Crystal Palace,,,"Jan 13, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
